"STATION","DATE","TMAX","TMIN"
"USC00044500","2022-01-01","51","34"
"USC00044500","2022-01-02","50","32"
"USC00044500","2022-01-03","51","43"
"USC00044500","2022-01-04","58","51"
"USC00044500","2022-01-05","57","46"
"USC00044500","2022-01-06","56","51"
"USC00044500","2022-01-07","56","46"
"USC00044500","2022-01-08","55","39"
"USC00044500","2022-01-09","54","39"
"USC00044500","2022-01-10","60","43"
"USC00044500","2022-01-11","61","40"
"USC00044500","2022-01-12","60","42"
"USC00044500","2022-01-13","60","43"
"USC00044500","2022-01-14","64","41"
"USC00044500","2022-01-15","62","45"
"USC00044500","2022-01-16","60","46"
"USC00044500","2022-01-17","60","44"
"USC00044500","2022-01-18","59","40"
"USC00044500","2022-01-19","59","40"
"USC00044500","2022-01-20","65","41"
"USC00044500","2022-01-21","69","43"
"USC00044500","2022-01-22","69","51"
"USC00044500","2022-01-23","65","42"
"USC00044500","2022-01-24","63","37"
"USC00044500","2022-01-25","60","37"
"USC00044500","2022-01-26","59","36"
"USC00044500","2022-01-27","63","37"
"USC00044500","2022-01-28","62","40"
"USC00044500","2022-01-29","63","39"
"USC00044500","2022-01-30","62","37"
"USC00044500","2022-01-31","59","40"
"USC00044500","2022-02-01","63","40"
"USC00044500","2022-02-02","64","48"
"USC00044500","2022-02-03","64","38"
"USC00044500","2022-02-04","62","39"
"USC00044500","2022-02-05","63","39"
"USC00044500","2022-02-06","67","36"
"USC00044500","2022-02-07","66","38"
"USC00044500","2022-02-08","71","40"
"USC00044500","2022-02-09","73","44"
"USC00044500","2022-02-10","76","48"
"USC00044500","2022-02-11","75","47"
"USC00044500","2022-02-12","76","48"
"USC00044500","2022-02-13","73","48"
"USC00044500","2022-02-14","72","43"
"USC00044500","2022-02-15","60","44"
"USC00044500","2022-02-16","71","46"
"USC00044500","2022-02-17","70","48"
"USC00044500","2022-02-18","67","39"
"USC00044500","2022-02-19","70","42"
"USC00044500","2022-02-20","69","39"
"USC00044500","2022-02-21","56","43"
"USC00044500","2022-02-22","52","41"
"USC00044500","2022-02-23","55","33"
"USC00044500","2022-02-24","58","30"
"USC00044500","2022-02-25","60","31"
"USC00044500","2022-02-26","59","33"
"USC00044500","2022-02-27","66","39"
"USC00044500","2022-02-28","71","40"
"USC00044500","2022-03-01","71","44"
"USC00044500","2022-03-02","69","45"
"USC00044500","2022-03-03","69","45"
"USC00044500","2022-03-04","57","49"
"USC00044500","2022-03-05","57","41"
"USC00044500","2022-03-06","62","39"
"USC00044500","2022-03-07","68","35"
"USC00044500","2022-03-08","74","40"
"USC00044500","2022-03-09","73","44"
"USC00044500","2022-03-10","69","44"
"USC00044500","2022-03-11","71","38"
"USC00044500","2022-03-12","71","36"
"USC00044500","2022-03-13","61","50"
"USC00044500","2022-03-14","71","39"
"USC00044500","2022-03-15","69","54"
"USC00044500","2022-03-16","69","43"
"USC00044500","2022-03-17","69","45"
"USC00044500","2022-03-18","69","40"
"USC00044500","2022-03-19","68","48"
"USC00044500","2022-03-20","67","45"
"USC00044500","2022-03-21","73","45"
"USC00044500","2022-03-22","84","53"
"USC00044500","2022-03-23","84","47"
"USC00044500","2022-03-24","72","42"
"USC00044500","2022-03-25","66","43"
"USC00044500","2022-03-26","71","43"
"USC00044500","2022-03-27","71","46"
"USC00044500","2022-03-28","60","47"
"USC00044500","2022-03-29","59","45"
"USC00044500","2022-03-30","62","48"
"USC00044500","2022-03-31","69","43"
"USC00044500","2022-04-01","73","43"
"USC00044500","2022-04-02","77","43"
"USC00044500","2022-04-03","77","45"
"USC00044500","2022-04-04","66","51"
"USC00044500","2022-04-05","71","48"
"USC00044500","2022-04-06","83","44"
"USC00044500","2022-04-07","85","51"
"USC00044500","2022-04-08","86","52"
"USC00044500","2022-04-09","76","45"
"USC00044500","2022-04-10","70","48"
"USC00044500","2022-04-11","57","48"
"USC00044500","2022-04-12","57","42"
"USC00044500","2022-04-13","58","42"
"USC00044500","2022-04-14","57","49"
"USC00044500","2022-04-15","65","42"
"USC00044500","2022-04-16","64","50"
"USC00044500","2022-04-17","63","38"
"USC00044500","2022-04-18","65","38"
"USC00044500","2022-04-19","64","48"
"USC00044500","2022-04-20","64","45"
"USC00044500","2022-04-21","62","50"
"USC00044500","2022-04-22","61","46"
"USC00044500","2022-04-23","72","43"
"USC00044500","2022-04-24","75","45"
"USC00044500","2022-04-25","76","45"
"USC00044500","2022-04-26","70","51"
"USC00044500","2022-04-27","65","46"
"USC00044500","2022-04-28","64","48"
"USC00044500","2022-04-29","72","43"
"USC00044500","2022-04-30","69","49"
"USC00044500","2022-05-01","76","45"
"USC00044500","2022-05-02","74","49"
"USC00044500","2022-05-03","79","48"
"USC00044500","2022-05-04","84","46"
"USC00044500","2022-05-05","83","47"
"USC00044500","2022-05-06","67","54"
"USC00044500","2022-05-07","66","53"
"USC00044500","2022-05-08","61","48"
"USC00044500","2022-05-09","59","43"
"USC00044500","2022-05-10","59","43"
"USC00044500","2022-05-11","65","41"
"USC00044500","2022-05-12","64","46"
"USC00044500","2022-05-13","74","53"
"USC00044500","2022-05-14","81","51"
"USC00044500","2022-05-15","79","51"
"USC00044500","2022-05-16","70","55"
"USC00044500","2022-05-17","78","47"
"USC00044500","2022-05-18","86","47"
"USC00044500","2022-05-19","85","62"
"USC00044500","2022-05-20","76","51"
"USC00044500","2022-05-21","83","49"
"USC00044500","2022-05-22","82","47"
"USC00044500","2022-05-23","84","50"
"USC00044500","2022-05-24","97","51"
"USC00044500","2022-05-25","97","59"
"USC00044500","2022-05-26","86","52"
"USC00044500","2022-05-27","67","55"
"USC00044500","2022-05-28","67","53"
"USC00044500","2022-05-29","71","50"
"USC00044500","2022-05-30","75","51"
"USC00044500","2022-05-31","82","46"
"USC00044500","2022-06-01","83","47"
"USC00044500","2022-06-02","83","50"
"USC00044500","2022-06-03","79","57"
"USC00044500","2022-06-04","72","55"
"USC00044500","2022-06-05","74","59"
"USC00044500","2022-06-06","77","55"
"USC00044500","2022-06-07","78","50"
"USC00044500","2022-06-08","78","55"
"USC00044500","2022-06-09","87","53"
"USC00044500","2022-06-10","94","59"
"USC00044500","2022-06-11","88","64"
"USC00044500","2022-06-12","84","57"
"USC00044500","2022-06-13","74","53"
"USC00044500","2022-06-14","85","52"
"USC00044500","2022-06-15","85","52"
"USC00044500","2022-06-16","80","53"
"USC00044500","2022-06-17","69","53"
"USC00044500","2022-06-18","70","51"
"USC00044500","2022-06-19","81","48"
"USC00044500","2022-06-20","90","51"
"USC00044500","2022-06-21","100","57"
"USC00044500","2022-06-22","103","65"
"USC00044500","2022-06-23","93","58"
"USC00044500","2022-06-24","94","52"
"USC00044500","2022-06-25","84","51"
"USC00044500","2022-06-26","84","53"
"USC00044500","2022-06-27","84","52"
"USC00044500","2022-06-28","84","53"
"USC00044500","2022-06-29","81","51"
"USC00044500","2022-06-30","74","52"
"USC00044500","2022-07-01","75","51"
"USC00044500","2022-07-02","75","52"
"USC00044500","2022-07-03","66","55"
"USC00044500","2022-07-04","76","55"
"USC00044500","2022-07-05","77","62"
"USC00044500","2022-07-06","73","60"
"USC00044500","2022-07-07","79","56"
"USC00044500","2022-07-08","81","53"
"USC00044500","2022-07-09","82","53"
"USC00044500","2022-07-10","93","53"
"USC00044500","2022-07-11","94","56"
"USC00044500","2022-07-12","87","56"
"USC00044500","2022-07-13","81","56"
"USC00044500","2022-07-14","82","53"
"USC00044500","2022-07-15","81","51"
"USC00044500","2022-07-16","85","50"
"USC00044500","2022-07-17","86","53"
"USC00044500","2022-07-18","88","53"
"USC00044500","2022-07-19","87","52"
"USC00044500","2022-07-20","83","49"
"USC00044500","2022-07-21","81","49"
"USC00044500","2022-07-22","83","50"
"USC00044500","2022-07-23","85","49"
"USC00044500","2022-07-24","78","49"
"USC00044500","2022-07-25","80","51"
"USC00044500","2022-07-26","83","55"
"USC00044500","2022-07-27","83","52"
"USC00044500","2022-07-28","80","53"
"USC00044500","2022-07-29","80","57"
"USC00044500","2022-07-30","77","58"
"USC00044500","2022-07-31","80","59"
"USC00044500","2022-08-01","79","58"
"USC00044500","2022-08-02","91","58"
"USC00044500","2022-08-03","91","58"
"USC00044500","2022-08-04","88","57"
"USC00044500","2022-08-05","82","58"
"USC00044500","2022-08-06","74","61"
"USC00044500","2022-08-07","79","56"
"USC00044500","2022-08-08","79","57"
"USC00044500","2022-08-09","78","60"
"USC00044500","2022-08-10","82","55"
"USC00044500","2022-08-11","81","55"
"USC00044500","2022-08-12","82","53"
"USC00044500","2022-08-13","86","53"
"USC00044500","2022-08-14","91","51"
"USC00044500","2022-08-15","92","54"
"USC00044500","2022-08-16","94","54"
"USC00044500","2022-08-17","94","58"
"USC00044500","2022-08-18","84","54"
"USC00044500","2022-08-19","85","56"
"USC00044500","2022-08-20","87","53"
"USC00044500","2022-08-21","84","53"
"USC00044500","2022-08-22","87","52"
"USC00044500","2022-08-23","86","57"
"USC00044500","2022-08-24","87","53"
"USC00044500","2022-08-25","79","53"
"USC00044500","2022-08-26","86","56"
"USC00044500","2022-08-27","86","53"
"USC00044500","2022-08-28","78","53"
"USC00044500","2022-08-29","83","52"
"USC00044500","2022-08-30","82","53"
"USC00044500","2022-08-31","82","52"
"USC00044500","2022-09-01","90","50"
"USC00044500","2022-09-02","90","50"
"USC00044500","2022-09-03","90","56"
"USC00044500","2022-09-04","96","56"
"USC00044500","2022-09-05","107","64"
"USC00044500","2022-09-06","110","69"
"USC00044500","2022-09-07","103","66"
"USC00044500","2022-09-08","101","62"
"USC00044500","2022-09-09","106","58"
"USC00044500","2022-09-10","88","59"
"USC00044500","2022-09-11","83","65"
"USC00044500","2022-09-12","83","60"
"USC00044500","2022-09-13","79","58"
"USC00044500","2022-09-14","71","57"
"USC00044500","2022-09-15","71","53"
"USC00044500","2022-09-16","79","52"
"USC00044500","2022-09-17","78","50"
"USC00044500","2022-09-18","66","58"
"USC00044500","2022-09-19","76","55"
"USC00044500","2022-09-20","75","52"
"USC00044500","2022-09-21","75","57"
"USC00044500","2022-09-22","81","52"
"USC00044500","2022-09-23","89","53"
"USC00044500","2022-09-24","89","55"
"USC00044500","2022-09-25","89","53"
"USC00044500","2022-09-26","74","53"
"USC00044500","2022-09-27","74","49"
"USC00044500","2022-09-28","80","52"
"USC00044500","2022-09-29","83","53"
"USC00044500","2022-09-30","87","53"
"USC00044500","2022-10-01","87","52"
"USC00044500","2022-10-02","72","57"
"USC00044500","2022-10-03","77","51"
"USC00044500","2022-10-04","75","50"
"USC00044500","2022-10-05","79","49"
"USC00044500","2022-10-06","79","49"
"USC00044500","2022-10-07","81","50"
"USC00044500","2022-10-08","81","50"
"USC00044500","2022-10-09","75","48"
"USC00044500","2022-10-10","75","49"
"USC00044500","2022-10-11","75","47"
"USC00044500","2022-10-12","71","50"
"USC00044500","2022-10-13","71","49"
"USC00044500","2022-10-14","71","49"
"USC00044500","2022-10-15","71","53"
"USC00044500","2022-10-16","68","60"
"USC00044500","2022-10-17","73","48"
"USC00044500","2022-10-18","82","52"
"USC00044500","2022-10-19","88","53"
"USC00044500","2022-10-20","91","50"
"USC00044500","2022-10-21","80","47"
"USC00044500","2022-10-22","69","56"
"USC00044500","2022-10-23","71","51"
"USC00044500","2022-10-24","74","46"
"USC00044500","2022-10-25","74","50"
"USC00044500","2022-10-26","73","48"
"USC00044500","2022-10-27","72","41"
"USC00044500","2022-10-28","73","42"
"USC00044500","2022-10-29","70","42"
"USC00044500","2022-10-30","73","52"
"USC00044500","2022-10-31","72","46"
"USC00044500","2022-11-01","66","49"
"USC00044500","2022-11-02","59","40"
"USC00044500","2022-11-03","61","39"
"USC00044500","2022-11-04","64","42"
"USC00044500","2022-11-05","64","50"
"USC00044500","2022-11-06","62","50"
"USC00044500","2022-11-07","58","42"
"USC00044500","2022-11-08","53","46"
"USC00044500","2022-11-09","58","41"
"USC00044500","2022-11-10","59","37"
"USC00044500","2022-11-11","58","37"
"USC00044500","2022-11-12","59","41"
"USC00044500","2022-11-13","62","40"
"USC00044500","2022-11-14","60","35"
"USC00044500","2022-11-15","66","36"
"USC00044500","2022-11-16","67","38"
"USC00044500","2022-11-17","64","38"
"USC00044500","2022-11-18","63","38"
"USC00044500","2022-11-19","62","39"
"USC00044500","2022-11-20","60","37"
"USC00044500","2022-11-21","62","38"
"USC00044500","2022-11-22","63","38"
"USC00044500","2022-11-23","65","41"
"USC00044500","2022-11-24","65","43"
"USC00044500","2022-11-25","67","42"
"USC00044500","2022-11-26","65","41"
"USC00044500","2022-11-27","63","39"
"USC00044500","2022-11-28","58","44"
"USC00044500","2022-11-29","57","40"
"USC00044500","2022-11-30","56","31"
"USC00044500","2022-12-01","53","46"
"USC00044500","2022-12-02","50","31"
"USC00044500","2022-12-03","48","37"
"USC00044500","2022-12-04","56","44"
"USC00044500","2022-12-05","56","50"
"USC00044500","2022-12-06","54","46"
"USC00044500","2022-12-07","55","37"
"USC00044500","2022-12-08","54","37"
"USC00044500","2022-12-09","51","38"
"USC00044500","2022-12-10","56","44"
"USC00044500","2022-12-11","55","42"
"USC00044500","2022-12-12","54","41"
"USC00044500","2022-12-13","54","33"
"USC00044500","2022-12-14","53","34"
"USC00044500","2022-12-15","55","35"
"USC00044500","2022-12-16","54","34"
"USC00044500","2022-12-17","54","35"
"USC00044500","2022-12-18","53","33"
"USC00044500","2022-12-19","50","38"
"USC00044500","2022-12-20","51","40"
"USC00044500","2022-12-21","57","37"
"USC00044500","2022-12-22","54","41"
"USC00044500","2022-12-23","53","43"
"USC00044500","2022-12-24","59","41"
"USC00044500","2022-12-25","58","44"
"USC00044500","2022-12-26","54","43"
"USC00044500","2022-12-27","58","47"
"USC00044500","2022-12-28","55","42"
"USC00044500","2022-12-29","53","46"
"USC00044500","2022-12-30","62","50"
"USC00044500","2022-12-31","60","50"
